,Target,AGE,S1,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Ward,AcornTypeCode,Q3_Full-Time Student,Q3_Registered Unemployed (Job Seeker's Allowance),Q3_Retired,Q3_Unemployed due to ill health,"Q3_Unemployed, Not Registered-Seeking Work",Q3_Working - Full Time (30+ HRS),Q3_Working - Part Time (8 - 29 HRS),Q4_(Refused),Q4_Any - Other White background (type in),Q4_Asian or Asian British - Any other Asian Background (type in),Q4_Asian or Asian British - Bangladeshi,Q4_Asian or Asian British - Chinese ,Q4_Asian or Asian British - Indian,Q4_Asian or Asian British - Pakistani,Q4_Black or Black British -  Caribbean,Q4_Black or Black British - African ,Q4_Black or Black British - Any other black background (type in),Q4_Mixed - White and Black - African,Q4_Mixed - White and Black - Caribbean,Q4_Other Ethnic groups - Any other background (type in),Q4_Other Ethnic groups - Arab,Q4_White - Eastern European  (type in),Q4_White - Irish,Q4_White - Western European,Number of Council Services accessed,Information about public services,Q12 Online,Q12 Offline,Usefulness of offline publication,Q22_Live Here Rent Free,Q22_Owns Outright,Q22_Owns With A Mortgage Or Loan,Q22_Part Owns And Part Rents (shared Ownership),Q22_Rents (With Or Without Housing Benefit),Q22_Rents A Room In A Shared Property,Financial Worry
0,0.0,65.0,0.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,1.0,3.0,4,4.0,2.0,0.0,3,6,7,8,4,1.0,1.0,1.0,1.0,1.0,9.0,0.0,54.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,3.0,1.0,0,0,0,0,1,0,3.0
1,0.0,26.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,3,4.0,0.0,0.0,3,11,10,11,5,1.0,1.0,2.0,1.0,1.0,6.0,0.0,54.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.2,0.0,0.0,,0,0,0,0,1,0,0.0
2,0.0,53.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,4,2.0,0.0,0.0,3,10,11,11,6,1.0,1.0,1.0,1.0,0.0,8.0,0.0,54.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,,0,0,0,0,1,0,1.0
3,0.0,44.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,4.0,2,2.0,1.0,1.0,3,10,10,9,10,1.0,1.0,1.0,1.0,0.0,9.0,0.0,54.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2.0,0.0,0.0,,0,0,0,0,1,0,0.0
4,0.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3,5.0,0.0,0.0,3,11,11,9,10,1.0,1.0,2.0,1.0,0.0,7.0,0.0,54.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.8,0.0,0.0,,0,0,0,0,1,0,0.0
5,0.0,50.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,1.0,1.0,2.0,4,1.0,0.0,0.0,3,7,8,7,4,3.0,1.0,2.0,1.0,0.0,6.0,0.0,54.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.8,0.0,0.0,,0,0,0,0,1,0,2.0
6,0.0,22.0,0.0,5.0,3.0,1.0,5.0,,3.0,,,,2.0,2.0,4.0,6,4.0,0.0,0.0,3,11,9,10,3,2.0,2.0,1.0,1.0,1.0,9.0,0.0,54.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,,0,0,0,0,1,0,0.0
7,0.0,28.0,0.0,5.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,3,2.0,0.0,0.0,3,11,11,10,11,1.0,1.0,1.0,1.0,1.0,5.0,0.0,54.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,1.0,2.0,0,0,0,0,1,0,0.0
8,0.0,41.0,1.0,5.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,5.0,3.0,1.0,4.0,1,4.0,2.0,0.0,3,9,10,10,5,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0,1.0,1.0,0,0,0,0,1,0,0.0
9,0.0,50.0,1.0,5.0,5.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,1.0,,2,1.0,0.0,0.0,3,9,9,9,6,3.0,1.0,1.0,1.0,1.0,8.0,1.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.2,1.0,1.0,3.0,1,0,0,0,0,0,0.0
10,0.0,25.0,0.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,4.0,1,3.0,0.0,0.0,3,8,8,8,10,1.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,1.0,4.0,0,1,0,0,0,0,0.0
11,0.0,41.0,0.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,2.0,1.0,4.0,2,3.0,1.0,0.0,3,8,8,8,3,1.0,1.0,1.0,1.0,1.0,9.0,1.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,1.0,1.0,3.0,0,0,0,0,1,0,0.0
12,0.0,20.0,1.0,1.0,3.0,,1.0,,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1,5.0,0.0,0.0,3,11,11,11,2,1.0,1.0,1.0,1.0,0.0,3.0,1.0,16.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0,,1,0,0,0,0,0,0.0
13,0.0,24.0,0.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,1,5.0,1.0,0.0,3,10,10,10,6,1.0,1.0,1.0,1.0,0.0,7.0,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,,1,0,0,0,0,0,0.0
14,0.0,77.0,0.0,5.0,5.0,,4.0,1.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,1,2.0,0.0,0.0,3,7,12,8,9,1.0,1.0,1.0,1.0,1.0,9.0,1.0,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,2.0,1.0,0,1,0,0,0,0,0.0
15,0.0,25.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,4.0,1,3.0,0.0,0.0,3,8,7,8,8,2.0,2.0,2.0,1.0,1.0,8.0,1.0,14.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4.0,0.0,0.0,,0,0,0,0,1,0,0.0
16,0.0,31.0,1.0,2.0,5.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,2.0,1.0,,2,2.0,0.0,0.0,3,8,8,8,6,1.0,1.0,1.0,1.0,0.0,3.0,1.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.0,1.0,0.0,,0,0,0,0,1,0,0.0
17,0.0,58.0,0.0,5.0,5.0,,5.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,3,2.0,3.0,0.0,3,8,8,8,8,1.0,1.0,1.0,1.0,0.0,8.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,2.0,0,0,0,0,1,0,1.0
18,0.0,85.0,1.0,1.0,1.0,,1.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0,4.0,1,1.0,0.0,0.0,1,10,10,10,7,1.0,1.0,1.0,1.0,1.0,8.0,1.0,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,3.0,0.0,2.0,2.0,0,1,0,0,0,0,0.0
19,0.0,45.0,0.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,,3,2.0,0.0,0.0,3,7,8,9,5,2.0,2.0,2.0,1.0,1.0,9.0,1.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.75,0.0,1.0,5.0,0,0,0,0,1,0,2.0
20,0.0,25.0,0.0,3.0,3.0,2.0,3.0,,4.0,3.0,3.0,4.0,1.0,2.0,3.0,1,3.0,0.0,0.0,3,9,9,9,2,1.0,1.0,1.0,1.0,0.0,6.0,1.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.75,0.0,1.0,4.0,1,0,0,0,0,0,0.0
21,0.0,55.0,1.0,3.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,4.0,1,2.0,0.0,0.0,3,9,8,9,7,1.0,1.0,1.0,1.0,1.0,9.0,1.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,2.0,1.0,2.0,0,0,1,0,0,0,0.0
22,0.0,43.0,1.0,3.0,3.0,2.0,3.0,,3.0,5.0,3.0,3.0,4.0,2.0,4.0,4,6.0,2.0,0.0,3,4,4,5,9,3.0,3.0,3.0,1.0,0.0,9.0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.0,,1,0,0,0,0,0,0.0
23,0.0,35.0,0.0,4.0,4.0,3.0,4.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,,3,1.0,0.0,0.0,3,9,9,7,3,2.0,2.0,1.0,1.0,1.0,9.0,1.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.25,2.0,1.0,2.0,0,0,0,0,1,0,0.0
24,0.0,32.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,2,2.0,0.0,0.0,3,8,8,8,7,1.0,1.0,1.0,1.0,1.0,7.0,2.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.2,0.0,1.0,2.0,0,0,0,0,1,0,0.0
25,0.0,,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2,2.0,0.0,0.0,3,8,6,6,4,1.0,1.0,1.0,1.0,0.0,5.0,2.0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,2.0,3.5,0,0,0,0,1,0,0.0
26,0.0,,1.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3.0,0.0,0.0,3,10,9,9,4,1.0,1.0,1.0,1.0,0.0,9.0,2.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.0,0.0,2.0,1.5,0,0,1,0,0,0,0.0
27,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2,2.0,0.0,0.0,3,9,9,9,3,,1.0,1.0,1.0,0.0,8.0,2.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,1.0,1.0,0,0,0,0,1,0,0.0
28,0.0,23.0,0.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,2,3.0,0.0,0.0,3,10,10,9,6,1.0,1.0,1.0,0.0,0.0,1.0,2.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.0,0.0,0.0,,0,0,0,0,1,0,0.0
29,0.0,31.0,0.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,3.0,2,1.0,0.0,0.0,3,10,10,10,1,2.0,1.0,2.0,0.0,0.0,3.0,2.0,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,2.0,0.0,0.0,,0,0,0,0,1,0,1.0
30,0.0,,0.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2,4.0,0.0,0.0,3,9,9,9,8,1.0,1.0,1.0,1.0,1.0,9.0,2.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0.0
31,0.0,74.0,1.0,3.0,3.0,,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,2,2.0,0.0,0.0,3,10,10,9,4,1.0,1.0,1.0,1.0,1.0,9.0,2.0,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.6,0.0,2.0,1.0,0,1,0,0,0,0,0.0
32,0.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,8.0,,1,3.0,3.0,1.0,3,9,9,10,1,1.0,1.0,1.0,,0.0,2.0,2.0,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.0,0.0,0.0,,0,0,0,0,0,1,0.0
33,0.0,27.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,2,3.0,0.0,0.0,3,8,8,7,9,1.0,1.0,1.0,1.0,1.0,9.0,2.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,1.0,2.0,0,0,1,0,0,0,0.0
34,0.0,56.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,,1.0,4.0,2,2.0,0.0,0.0,3,7,8,8,7,2.0,2.0,2.0,1.0,1.0,9.0,2.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,2.0,2.0,0,0,1,0,0,0,0.0
35,0.0,54.0,1.0,4.0,4.0,3.0,3.0,1.0,2.0,5.0,3.0,3.0,2.0,1.0,1.0,2,2.0,0.0,0.0,3,9,10,9,9,1.0,1.0,1.0,1.0,1.0,9.0,2.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.2,2.0,3.0,1.0,0,0,1,0,0,0,0.0
36,0.0,77.0,0.0,4.0,1.0,,3.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2,1.0,0.0,0.0,3,4,4,6,6,1.0,1.0,1.0,1.0,1.0,9.0,2.0,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.6,3.0,2.0,1.5,0,1,0,0,0,0,0.0
37,0.0,22.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1,2.0,0.0,1.0,3,11,11,11,2,1.0,1.0,2.0,2.0,0.0,6.0,2.0,16.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.6,0.0,2.0,2.0,0,1,0,0,0,0,0.0
38,0.0,47.0,1.0,3.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,1,3.0,1.0,0.0,3,9,10,9,1,1.0,1.0,1.0,1.0,1.0,9.0,2.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.0,2.0,2.0,1.5,0,1,0,0,0,0,0.0
39,0.0,29.0,0.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,,1.0,3.0,4.0,3,4.0,0.0,0.0,3,6,6,6,6,,,,1.0,1.0,9.0,2.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,1.0,0.0,,0,0,0,0,0,1,1.0
40,0.0,66.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2,1.0,0.0,0.0,3,9,9,8,4,2.0,1.0,2.0,1.0,1.0,9.0,3.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.6,0.0,1.0,2.0,0,1,0,0,0,0,3.0
41,0.0,49.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2,2.0,0.0,0.0,3,9,7,10,5,1.0,1.0,1.0,1.0,1.0,6.0,3.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.8,1.0,1.0,2.0,0,0,0,0,0,1,3.0
42,0.0,69.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2,2.0,0.0,0.0,3,9,7,8,6,2.0,1.0,1.0,1.0,1.0,9.0,3.0,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.8,0.0,1.0,3.0,0,0,1,0,0,0,2.0
43,0.0,40.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3,3.0,1.0,0.0,3,10,8,9,2,1.0,1.0,2.0,1.0,1.0,2.0,3.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.2,1.0,1.0,3.0,0,0,0,0,1,0,3.0
44,0.0,39.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2,4.0,2.0,0.0,3,10,9,7,4,1.0,1.0,1.0,1.0,0.0,7.0,3.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.6,0.0,1.0,3.0,0,0,0,0,1,0,3.0
45,0.0,50.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2,2.0,0.0,0.0,3,9,6,7,2,1.0,1.0,2.0,1.0,1.0,7.0,3.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,2.0
46,0.0,56.0,0.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3,2.0,2.0,0.0,3,8,7,8,3,1.0,2.0,1.0,1.0,1.0,6.0,3.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.8,0.0,2.0,2.0,0,0,0,0,1,0,0.0
47,0.0,23.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3,3.0,0.0,0.0,3,9,8,8,3,1.0,1.0,1.0,1.0,1.0,9.0,3.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,1.0,0.0,,0,0,0,0,0,1,2.0
48,0.0,52.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,5.0,3.0,4.0,2.0,1.0,4.0,1,2.0,0.0,0.0,3,9,9,9,5,1.0,1.0,1.0,1.0,1.0,8.0,4.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,5.0,0,0,1,0,0,0,0.0
49,0.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2,2.0,0.0,0.0,3,8,8,8,4,1.0,1.0,1.0,1.0,1.0,9.0,4.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,0.0,1.0,3.0,1,0,0,0,0,0,0.0
50,0.0,36.0,0.0,2.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,5.0,1.0,7.0,3.0,2,3.0,1.0,0.0,3,8,8,8,3,1.0,1.0,1.0,1.0,1.0,9.0,4.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.25,1.0,1.0,3.0,0,0,1,0,0,0,0.0
51,0.0,35.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,7.0,4.0,3,3.0,1.0,0.0,3,7,7,7,7,2.0,2.0,2.0,1.0,1.0,9.0,4.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,1.0,3.0,1,0,0,0,0,0,2.0
52,0.0,38.0,0.0,1.0,3.0,1.0,3.0,2.0,3.0,5.0,3.0,4.0,2.0,1.0,4.0,2,3.0,1.0,0.0,3,7,7,7,5,1.0,1.0,1.0,1.0,1.0,8.0,4.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,2.0,2.0,1.0,3.0,0,0,0,0,1,0,0.0
53,0.0,73.0,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1,2.0,0.0,0.0,3,9,9,9,3,1.0,1.0,1.0,1.0,1.0,9.0,4.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4.0,0.0,2.0,2.0,0,1,0,0,0,0,0.0
54,0.0,22.0,0.0,4.0,4.0,,4.0,2.0,3.0,4.0,4.0,4.0,2.0,7.0,3.0,1,4.0,0.0,0.0,3,9,9,9,5,1.0,1.0,1.0,1.0,1.0,9.0,4.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,0.0,0.0,,1,0,0,0,0,0,0.0
55,0.0,59.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,1,4.0,0.0,0.0,3,9,10,9,4,1.0,1.0,1.0,1.0,1.0,9.0,4.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,2.0,1.0,1.0,0,1,0,0,0,0,0.0
56,0.0,29.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,3,5.0,0.0,1.0,1,7,7,5,9,2.0,3.0,2.0,1.0,1.0,8.0,5.0,55.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,2.0,1.0,1.0,2.0,0,0,0,0,1,0,3.0
57,0.0,16.0,0.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,6,5.0,1.0,0.0,3,6,6,6,6,2.0,2.0,2.0,1.0,1.0,7.0,5.0,55.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,2.0,2.0,0,0,0,0,0,1,0.0
58,0.0,54.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,1.0,4.0,3,1.0,0.0,0.0,3,6,5,7,7,2.0,2.0,2.0,1.0,1.0,8.0,5.0,55.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.6,2.0,1.0,1.0,0,0,0,0,1,0,2.0
59,1.0,68.0,1.0,3.0,4.0,,2.0,1.0,2.0,4.0,3.0,3.0,4.0,1.0,2.0,3,2.0,0.0,1.0,3,9,6,9,8,1.0,1.0,1.0,1.0,1.0,8.0,5.0,55.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,2.0,0.0,3.0,1.0,0,0,0,0,1,0,0.0
60,0.0,53.0,0.0,4.0,5.0,,5.0,3.0,5.0,4.0,5.0,4.0,5.0,1.0,2.0,2,4.0,0.0,0.0,3,5,6,8,7,1.0,1.0,1.0,1.0,1.0,8.0,5.0,55.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,2.0,2.0,0,0,0,0,1,0,0.0
61,1.0,43.0,0.0,3.0,4.0,,5.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0,3.0,3,5.0,1.0,0.0,3,6,7,7,7,1.0,2.0,1.0,1.0,1.0,7.0,5.0,55.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,1.0,1.0,0,0,0,0,1,0,0.0
62,0.0,36.0,0.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3,3.0,0.0,0.0,3,9,8,7,6,2.0,2.0,2.0,1.0,0.0,5.0,5.0,55.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.4,0.0,2.0,2.0,0,0,0,0,1,0,2.0
63,0.0,28.0,1.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,6,4.0,0.0,0.0,3,7,7,7,6,1.0,1.0,2.0,0.0,0.0,4.0,5.0,55.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,3.0,1.0,1.0,2.0,0,0,0,0,1,0,0.0
64,0.0,40.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,1.0,4.0,3,5.0,3.0,0.0,3,11,11,11,1,1.0,1.0,1.0,1.0,0.0,6.0,6.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.8,1.0,1.0,2.0,0,0,0,0,1,0,0.0
65,0.0,36.0,0.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,2,3.0,1.0,0.0,3,11,9,10,3,1.0,1.0,1.0,1.0,1.0,9.0,6.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,2.0,1.0,2.0,0,1,0,0,0,0,0.0
