,Target,AGE,S1,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Ward,AcornTypeCode,Q3_Full-Time Student,Q3_Registered Unemployed (Job Seeker's Allowance),Q3_Retired,Q3_Unemployed due to ill health,"Q3_Unemployed, Not Registered-Seeking Work",Q3_Working - Full Time (30+ HRS),Q3_Working - Part Time (8 - 29 HRS),Q4_(Refused),Q4_Any - Other White background (type in),Q4_Asian or Asian British - Any other Asian Background (type in),Q4_Asian or Asian British - Bangladeshi,Q4_Asian or Asian British - Chinese ,Q4_Asian or Asian British - Indian,Q4_Asian or Asian British - Pakistani,Q4_Black or Black British -  Caribbean,Q4_Black or Black British - African ,Q4_Black or Black British - Any other black background (type in),Q4_Mixed - White and Black - African,Q4_Mixed - White and Black - Caribbean,Q4_Other Ethnic groups - Any other background (type in),Q4_Other Ethnic groups - Arab,Q4_White - Eastern European  (type in),Q4_White - Irish,Q4_White - Western European,Number of Council Services accessed,Information about public services,Q12 Online,Q12 Offline,Usefulness of offline publication,Q22_Live Here Rent Free,Q22_Owns Outright,Q22_Owns With A Mortgage Or Loan,Q22_Part Owns And Part Rents (shared Ownership),Q22_Rents (With Or Without Housing Benefit),Q22_Rents A Room In A Shared Property,Financial Worry
22,0.0,0.2553191489361702,0.0,0.8,0.8,0.8,1.0,0.2,0.6,0.8,1.0,1.0,0.2,0.25,1.0,0.3333333333333333,0.125,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.45,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.75,0.5,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.43617021276595747,0.0,0.8,1.0,0.6,0.6,0.2,0.4,0.6,0.4,0.6,0.6,0.25,0.75,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.0,1.0,0.8333333333333334,0.8333333333333334,0.75,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.3,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.425531914893617,0.0,1.0,1.0,,1.0,,0.8,1.0,0.8,1.0,1.0,0.25,0.5,0.5,0.08333333333333333,0.05555555555555555,0.0,1.0,0.75,0.6666666666666666,0.75,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5555555555555556,0.8,0.8709677419354839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.75,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.125
25,0.0,0.5531914893617021,0.0,0.8,1.0,0.8,1.0,0.4,0.8,0.6,0.4,0.4,0.4,0.125,0.75,0.3333333333333333,0.125,0.0,0.0,1.0,0.8333333333333334,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8888888888888888,0.6,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,0.0,0.5319148936170213,1.0,1.0,1.0,0.8,0.8,0.4,1.0,0.8,0.6,0.6,0.8,0.25,0.75,0.3333333333333333,0.125,0.027777777777777776,0.0,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.6,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,0.0,0.4574468085106383,0.0,0.8,0.8,,0.8,0.2,0.8,0.8,0.8,0.8,0.8,0.25,0.75,0.5,0.16666666666666666,0.027777777777777776,0.0,1.0,0.3333333333333333,0.25,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,1.0,0.6666666666666666,0.25,0.8709677419354839,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.25
28,0.0,0.3404255319148936,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.2,0.4,0.8,0.125,1.0,0.5,0.08333333333333333,0.027777777777777776,0.0,1.0,0.8333333333333334,0.8333333333333334,0.75,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.8888888888888888,0.6,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,0.0,0.6914893617021277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.5,0.3333333333333333,0.125,0.0,0.0,1.0,0.9166666666666666,0.9166666666666666,0.75,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.7,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.2765957446808511,0.0,1.0,0.2,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.75,0.3333333333333333,0.16666666666666666,0.0,0.0,1.0,0.9166666666666666,0.5833333333333334,0.75,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.5,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,0.0,0.23404255319148937,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.25,0.75,0.5,0.041666666666666664,0.0,0.0,1.0,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.25806451612903225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,0.0,0.3191489361702128,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.25,1.0,0.3333333333333333,0.16666666666666666,0.027777777777777776,0.0,1.0,0.8333333333333334,0.75,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.2222222222222222,0.2,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.39361702127659576,0.0,0.4,1.0,0.4,1.0,1.0,0.4,0.6,0.6,0.6,0.8,0.25,1.0,0.3333333333333333,0.041666666666666664,0.0,0.0,1.0,0.9166666666666666,0.75,0.75,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8888888888888888,0.25,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,0.0,0.5106382978723404,0.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.125,1.0,0.3333333333333333,0.16666666666666666,0.027777777777777776,0.0,1.0,0.75,0.5833333333333334,0.75,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.65,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.85,0.25,0.25,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,0.0,0.46808510638297873,0.0,0.4,0.4,,,0.2,0.8,1.0,0.2,0.2,0.2,0.125,0.25,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.0,1.0,0.75,0.75,0.75,0.75,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,0.8888888888888888,0.25,0.25806451612903225,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,0.0,0.35106382978723405,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.4,0.6,0.8,0.125,1.0,0.5,0.08333333333333333,0.0,0.0,1.0,0.75,0.75,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.7777777777777778,0.2,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.125
37,0.0,0.8191489361702128,0.0,1.0,1.0,,0.8,0.2,0.6,0.8,1.0,1.0,0.8,0.125,1.0,0.16666666666666666,0.08333333333333333,0.0,0.0,1.0,0.5833333333333334,1.0,0.6666666666666666,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.05,0.22580645161290322,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.5,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.4148936170212766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.5,0.125,0.027777777777777776,0.0,1.0,0.75,0.8333333333333334,0.75,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.7777777777777778,0.15,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.25,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
